source,word,Z,var,source_order
Dolch,round,0.43704112758974273,wcbc,1
Dolch,some,1.8643386801965975,wcbc,1
Dolch,stop,0.6965497735182619,wcbc,1
Dolch,take,0.936595271002142,wcbc,1
Dolch,thank,0.35918853381118704,wcbc,1
Dolch,them,2.8050575216874796,wcbc,1
Dolch,then,3.6938746339926567,wcbc,1
Dolch,think,1.4296616982663282,wcbc,1
Dolch,walk,0.372163966107613,wcbc,1
Dolch,were,3.0775415999124243,wcbc,1
Dolch,when,4.057186738292583,wcbc,1
Dolch,always,0.7289883542593267,wcbc,1
Dolch,around,1.0533741616699754,wcbc,1
Dolch,because,0.6835743412218358,wcbc,1
Dolch,been,0.6122094635914931,wcbc,1
Dolch,before,0.7030374896664748,wcbc,1
Dolch,best,0.5473323021093633,wcbc,1
Dolch,both,0.2034833462540756,wcbc,1
Dolch,buy,0.19050791395764963,wcbc,1
Dolch,call,0.33323766921833514,wcbc,1
Dolch,cold,0.43704112758974273,wcbc,1
Dolch,does,0.5278691536647244,wcbc,1
Dolch,don't,NA,wcbc,1
Dolch,fast,0.6122094635914931,wcbc,1
Dolch,first,0.7419637865557527,wcbc,1
Dolch,five,0.28782365618084427,wcbc,1
Dolch,found,0.6641111927771969,wcbc,1
Dolch,gave,0.5084060052200855,wcbc,1
Dolch,goes,0.4110902629968908,wcbc,1
Dolch,green,0.7808900834450305,wcbc,1
Dolch,its,2.162773623014395,wcbc,1
Dolch,made,1.1182513231521052,wcbc,1
Dolch,many,0.4889428567754466,wcbc,1
Dolch,off,1.299907375302069,wcbc,1
Dolch,or,1.7475597895287642,wcbc,1
Dolch,pull,0.04129044254875119,wcbc,1
Dolch,read,0.40460254684867786,wcbc,1
Dolch,right,1.507514292044884,wcbc,1
Dolch,sing,0.23592192699514047,wcbc,1
Dolch,sit,0.3462131015147611,wcbc,1
Dolch,sleep,0.6057217474432801,wcbc,1
Dolch,tell,0.8522549610753732,wcbc,1
Dolch,their,1.9746298547162184,wcbc,1
Dolch,these,0.35918853381118704,wcbc,1
Dolch,those,0.4889428567754466,wcbc,1
Dolch,upon,0.3916271145522519,wcbc,1
Dolch,us,0.9690338517432068,wcbc,1
