source,level,letters_m,letters_sd,letters_min,letters_max,letters_range,syllables_m,syllables_sd,syllables_min,syllables_max,syllables_range,morphemes_m,morphemes_sd,morphemes_min,morphemes_max,morphemes_range,aoa_m,aoa_sd,aoa_min,aoa_max,aoa_range,imageability_m,imageability_sd,imageability_min,imageability_max,imageability_range,consistency_m,consistency_sd,consistency_min,consistency_max,consistency_range,wcbc_freq_m,wcbc_freq_sd,wcbc_freq_min,wcbc_freq_max,wcbc_freq_range,tasa_freq_m,tasa_freq_sd,tasa_freq_min,tasa_freq_max,tasa_freq_range,childes_freq_m,childes_freq_sd,childes_freq_min,childes_freq_max,childes_freq_range,closed_count,closed_prop,open_count,open_prop,one_count,one_prop,two_count,two_prop,three_count,three_prop,four_count,four_prop,five_count,five_prop
dolch,all,4.038216560509555,1.2351888025204236,1,9,8,1.1815286624203822,0.3942593907910871,1,3,2,1.0382165605095541,0.19202470283282894,1,2,1,4.528247306462741,2.089907739725964,2,9.5,7.5,3.803305785123967,1.8786829448718285,1.2,6.9,5.7,0.6974476719225806,0.3194009694563272,0.003257329,1,0.996742671,341.41346153846155,801.8878642477704,6,9394,9388,5311.022292993631,12499.719541753911,12,157423,157411,2840.770700636943,2398.3322210364204,128,10398,10270,116,0.3682539682539683,199,0.6317460317460317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fry,all,4.4325,1.4389650102597629,1,9,8,1.315,0.5536617680348344,1,4,3,1.1025,0.31182822531846466,1,3,2,4.5594277843630175,2.107087183338568,2,10,8,3.4473076923076924,1.6473075205079553,1.2,6.9,5.7,0.6954445018379747,0.30843004574666344,0.003257329,1,0.996742671,280.78205128205127,727.477895625036,1,9394,9393,4466.751256281407,11229.02320740227,0,157423,157423,2346.8195488721803,2382.0421451825587,2,10398,10396,142,0.355,258,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fundations,all,4.707395498392283,1.8035565136460665,1,9,8,1.4758842443729903,0.6992372153508455,1,4,3,1.0739549839228295,0.2621193730134256,1,2,1,3.9042498719918073,1.913889219180742,2,9.125,7.125,2.8508670520231214,1.4890538004364269,1.2,6.8,5.6,0.5259595063224756,0.3220641433707954,0.009615385,1,0.990384615,448.3258064516129,1090.560148362276,1,9394,9393,7186.016077170418,16827.86849179539,14,157423,157409,2801.530546623794,2689.940196876795,27,10398,10371,135,0.42857142857142855,180,0.5714285714285714,33,0.10476190476190476,38,0.12063492063492064,55,0.1746031746031746,126,0.4,63,0.2
kilpatrick,all,5.602836879432624,1.6928036950886771,2,11,9,1.706855791962175,0.7813739845933649,1,5,4,1.094562647754137,0.3087104123548319,1,3,2,6.368886136512036,3.1668496027044646,2,14,12,3.7861878453038673,1.5437606852770278,1.2,6.8,5.6,0.5494611122259615,0.3028030770904006,0.006229426,1,0.993770574,147.4763948497854,701.5752783612294,1,9394,9393,1705.1965317919075,9995.266759334081,0,157423,157423,721.1399416909621,1662.62876411412,1,9746,9745,43,0.10070257611241218,384,0.8992974238875878,329,0.7704918032786885,20,0.0468384074941452,20,0.0468384074941452,25,0.0585480093676815,33,0.07728337236533958
wonders,all,4.430174563591023,1.554097228845573,1,11,10,1.3341645885286784,0.5569265246875185,1,4,3,1.0935162094763091,0.29559032175242794,1,3,2,4.275631416040623,1.9608302613519673,2,10,8,3.0809615384615383,1.4304300384349364,1.2,6.8,5.6,0.6026230042972293,0.32540696942323183,0.003257329,1,0.996742671,396.16814159292034,980.1846768882597,1,9394,9393,6170.847880299252,14899.066755474038,11,157423,157412,2950.3167082294262,2575.0087377416467,9,10398,10389,358,0.4463840399002494,444,0.5536159600997507,79,0.09850374064837905,130,0.16209476309226933,254,0.3167082294264339,233,0.29052369077306733,106,0.13216957605985039
